ID,Restaurant,Address,Time,Price,District,latitude,longitude
1,Gà Rán & Burger McDonald's Đa Kao,"2 - 6 Bis Điện Biên Phủ, Quận 1, TP. HCM",00:00 - 23:59,50.000 - 200.000,Quận 1,10.7927659,106.6997287
2,Cháo Trắng - Cháo Thịt Bằm BK House - Phạm Viết Chánh,"112B Phạm Viết Chánh, P. Nguyễn Cư Trinh, Quận 1, TP. HCM",00:00 - 23:59,5.000 - 40.000,Quận 1,10.7660605,106.6826042
3,Texas Chicken - Nguyễn Thái Học,"115 Nguyễn Thái Học , Quận 1, TP. HCM",,30.000 - 300.000,Quận 1,10.7677766,106.695474
4,Bếp Chay 365,"Tầng 1, 35 Nguyễn Văn Tráng, P. Bến Thành, Quận 1, TP. HCM",,15.000 - 50.000,Quận 1,10.7701097,106.6922843
5,Bánh Canh Cua Linh,"80A Điện Biên Phủ, P. Đa Kao, Quận 1, TP. HCM",06:20 - 22:00,25.000 - 35.000,Quận 1,10.7927659,106.6997287
6,Bún Đậu Mạc Văn Khoa - Trần Quang Khải,"90 Trần Quang Khải, P. Tân Định, Quận 1, TP. HCM",,45.000 - 140.000,Quận 1,10.7927082,106.6957114
7,Bún Riêu Cua Ốc Phang Rang Ninh Thuận - Nguyễn Thái Bình,"66 Nguyễn Thái Bình, P. Nguyễn Thái Bình, Quận 1, TP. HCM",06:30 - 21:30,35.000 - 55.000,Quận 1,10.7677621,106.6981247
8,Há Cảo Đặc Biệt Nhà Thờ Đức Bà,"86 Nguyễn Du, Quận 1, TP. HCM",,5.000 - 20.000,Quận 1,10.7792809,106.7002377
9,Gà Rán KFC - Nguyễn Văn Giai,"2 Nguyễn Huy Tự, P. Đa Kao, Quận 1, TP. HCM",,30.000 - 88.000,Quận 1,10.7927026,106.6963009
10,Hey Pelo - Original French Tacos - Trần Khắc Chân,"Số 60 Trần Khắc Chân, P.Tân Định, Quận 1, TP. HCM",,30.000 - 110.000,Quận 1,10.7936603,106.6910916
11,"Home Mì - Mì Ý, Salad & Gà Chiên - Shop Online","65A Cách Mạng Tháng 8, P. Bến Thành, Quận 1, TP. HCM",,27.000 - 100.000,Quận 1,10.7735201,106.6894367
12,Chè Ngon Cô Ba - Cô Giang,"176 Cô Giang, P. Cô Giang, Quận 1, TP. HCM",,15.000 - 100.000,Quận 1,10.7643264,106.6962959
13,Geylang By Night - Cháo Ếch Singapore & Món Xào,"25 Cô Bắc, P. Cầu Ông Lãnh, Quận 1, TP. HCM",,10.000 - 100.000,Quận 1,10.7655737,106.6956108
14,Hẻm Fast Food - Món Hàn Quốc - Nguyễn Cư Trinh,"75 Nguyễn Cư Trinh, P. Nguyễn Cư Trinh, Quận 1, TP. HCM",,10.000 - 100.000,Quận 1,10.7644597,106.6913279
